"Cantidad a la mano","Cantidad pronosticada","Categoría del producto","Costo","Decoración de la actividad de excepción","Etiquetas","Favorito","Nombre","Precio de venta","Referencia interna","Tipo de producto"
"0.0","0.0","Materiales","50.27","","","","SLIME","1.0"," MAT-065","Bienes"
"0.0","0.0","Materiales","90.0","","","","ARDUINO","158.0","MAT-001","Bienes"
"0.0","0.0","Materiales","16.85","","","","PISCINA INFLABLE","1.0","MAT-002","Bienes"
"0.0","0.0","Materiales","33.98","","",""," Cinta Adhesiva 2.54cm x 50mts. Toolcraft","1.0","MAT-003","Bienes"
"0.0","0.0","Materiales","49.17","","","","Plástico de embalaje","1.0","MAT-004","Bienes"
"0.0","0.0","Materiales","114.57","","","","Etiquetas adhesivas","1.0","MAT-005","Bienes"
"0.0","0.0","Materiales","5.8","","","","Guantes de nitrilo","1.0","MAT-006","Bienes"
"0.0","0.0","Materiales","2.02","","","","Mascarilla desechable","1.0","MAT-007","Bienes"
"0.0","0.0","Materiales","116.72","","","","Uniforme de cajero","1.0","MAT-008","Bienes"
"0.0","0.0","Materiales","20.22","","","","Delantal de bodega","1.0","MAT-009","Bienes"
"0.0","0.0","Materiales","113.1","","","","Bolígrafo - BOLIK","1.0","MAT-010","Bienes"
"0.0","0.0","Materiales","67.08","","","","Lapicero de tinta","1.0","MAT-011","Bienes"
"0.0","0.0","Materiales","94.31","","","","Resma de papel bond","1.0","MAT-012","Bienes"
"0.0","0.0","Materiales","78.17","","","","Engrapadora","1.0","MAT-013","Bienes"
"0.0","0.0","Materiales","84.43","","","","Grapas","1.0","MAT-014","Bienes"
"0.0","0.0","Materiales","10.3","","","","Clips metálicos","1.0","MAT-015","Bienes"
"0.0","0.0","Materiales","47.79","","","","Folder tamaño carta","1.0","MAT-016","Bienes"
"0.0","0.0","Materiales","3.23","","","","Tinta para impresora","1.0","MAT-017","Bienes"
"0.0","0.0","Materiales","115.15","","","","Rollo de papel para caja registradora","1.0","MAT-018","Bienes"
"0.0","0.0","Materiales","58.09","","","","Bolsa plástica ZIPLOC","1.0","MAT-019","Bienes"
"0.0","0.0","Materiales","115.35","","","","Canasta","1.0","MAT-020","Bienes"
