"Cantidad a la mano","Cantidad pronosticada","Categoría del producto","Costo","Decoración de la actividad de excepción","Etiquetas","Favorito","Nombre","Precio de venta","Referencia interna","Tipo de producto"
"0.0","0.0","Productos","13.73","","","","Arroz blanco 1 lb","63.55","PROD-001","Bienes"
"0.0","0.0","Productos","11.45","","","","Frijol negro 1 lb","62.94","PROD-002","Bienes"
"0.0","0.0","Productos","20.05","","","","Azúcar blanca - CANA REAL","43.76","PROD-003","Bienes"
"0.0","0.0","Productos","31.42","","","","Aceite vegetal 1 lt","66.01","PROD-004","Bienes"
"0.0","0.0","Productos","8.65","","","","Sal de mesa 500 g","9.81","PROD-005","Bienes"
"0.0","0.0","Productos","4.44","","","","Harina de trigo 1 lb","4.52","PROD-006","Bienes"
"0.0","0.0","Productos","34.27","","","","Café Molido Antigua Relajarse & Café","59.91","PROD-007","Bienes"
"0.0","0.0","Productos","24.12","","","","Leche Entera Pinito Dos Pinos Bolsa","41.37","PROD-008","Bienes"
"0.0","0.0","Productos","46.91","","","","Huevos 30 u","83.22","PROD-009","Bienes"
"0.0","0.0","Productos","41.27","","",""," Pan Molde Integral Masa Madre El Parisino","40.91","PROD-010","Bienes"
"0.0","0.0","Productos","17.0","","","","Pasta espagueti 500 g","20.6","PROD-011","Bienes"
"0.0","0.0","Productos","8.37","","","","Salsa de tomate 400 g","50.89","PROD-012","Bienes"
"0.0","0.0","Productos","7.93","","","","Atún en lata SARDIMAR","81.15","PROD-013","Bienes"
"0.0","-8.0","Productos","35.61","","",""," Jabón Pastilla Avena Y Fresh Potex 6 Pack","75.78","PROD-014","Bienes"
"0.0","0.0","Productos","25.08","","",""," Papel Higiénico Doble Hoja Esencias Scott","76.66","PROD-015","Bienes"
