nombre,referencia_interna,codigo_barras,costo,descripcion_corta
ARDUINO,MAT-001,765561510892,34.75,material que se usa
PISCINA INFLABLE,MAT-002,769451143862,16.85,material que se usa
Cinta adhesiva,MAT-003,761927554654,33.98,material que se usa
Plástico de embalaje,MAT-004,766362067588,49.17,material que se usa
Etiquetas adhesivas,MAT-005,767209914506,114.57,material que se usa
Guantes de nitrilo,MAT-006,761093675449,5.8,material que se usa
Mascarilla desechable,MAT-007,767816871126,2.02,material que se usa
Uniforme de cajero,MAT-008,768969151499,116.72,material que se usa
Delantal de bodega,MAT-009,761468349022,20.22,material que se usa
Bolígrafo,MAT-010,763929490109,113.1,material que se usa
Lapicero de tinta,MAT-011,762964196103,67.08,material que se usa
Resma de papel bond,MAT-012,761169849915,94.31,material que se usa
Engrapadora,MAT-013,764951026795,78.17,material que se usa
Grapas,MAT-014,768027816762,84.43,material que se usa
Clips metálicos,MAT-015,761481606229,10.3,material que se usa
Folder tamaño carta,MAT-016,763503497687,47.79,material que se usa
Tinta para impresora,MAT-017,763581536923,3.23,material que se usa
Rollo de papel para caja registradora,MAT-018,767273618483,115.15,material que se usa
Bolsa plástica para compras,MAT-019,764795780556,58.09,material que se usa
Canasta de compras,MAT-020,762061107690,115.35,material que se usa
Carrito de compras,MAT-021,762320263626,4.57,material que se usa
Estante metálico,MAT-022,762803954443,32.36,material que se usa
Gaveta plástica,MAT-023,768161235392,111.17,material que se usa
Extintor,MAT-024,766269006049,6.02,material que se usa
Botiquín de primeros auxilios,MAT-025,767101245185,82.54,material que se usa
Escoba,MAT-026,761850745597,96.05,material que se usa
Trapeador,MAT-027,763168436173,26.22,material que se usa
Cubeta plástica,MAT-028,765165511510,38.78,material que se usa
Desinfectante en spray,MAT-029,764521892486,29.24,material que se usa
Bolsa para basura industrial,MAT-030,766246056929,91.74,material que se usa
Letrero de piso mojado,MAT-031,762266726952,114.33,material que se usa
Chaleco reflectivo,MAT-032,766254137170,51.21,material que se usa
Casco de seguridad,MAT-033,763857417071,113.95,material que se usa
Candado,MAT-034,762689897756,27.13,material que se usa
Cinta de seguridad,MAT-035,765904470728,8.12,material que se usa
Extensión eléctrica,MAT-036,761258278968,48.41,material que se usa
Foco LED,MAT-037,769089930132,88.46,material que se usa
Regleta eléctrica,MAT-038,765284357919,111.93,material que se usa
Radio walkie-talkie,MAT-039,762414086881,23.89,material que se usa
Báscula digital,MAT-040,768500337632,5.76,material que se usa
Lector de código de barras,MAT-041,766719597153,21.97,material que se usa
Impresora térmica,MAT-042,761012329675,35.02,material que se usa
Rollo de etiquetas térmicas,MAT-043,766804505977,114.75,material que se usa
Caja fuerte pequeña,MAT-044,766185753974,44.08,material que se usa
Silla de oficina,MAT-045,768823599127,99.0,material que se usa
Escritorio metálico,MAT-046,762857355768,7.81,material que se usa
Archivador de 4 gavetas,MAT-047,763033512632,45.98,material que se usa
Termómetro digital,MAT-048,769244217284,24.78,material que se usa
Kit de limpieza,MAT-049,769147524473,5.57,material que se usa
Trapo industrial,MAT-050,762764380430,97.8,material que se usa
Guante de carnicería,MAT-051,768587781294,6.8,material que se usa
Malla para exhibición,MAT-052,765444665754,9.38,material que se usa
Gancho de exhibición,MAT-053,764951699452,32.33,material que se usa
Vitrina refrigerada (repuesto),MAT-054,764209572396,108.03,material que se usa
Filtro de refrigeración,MAT-055,766751259858,34.13,material que se usa
Cinta métrica,MAT-056,763649902430,32.94,material que se usa
Cúter industrial,MAT-057,766478790550,2.45,material que se usa
Rollo de plástico film,MAT-058,765051228543,4.86,material que se usa
Sello de precios,MAT-059,762004447939,58.07,material que se usa
Tinta para sello,MAT-060,769404296002,114.56,material que se usa
Formulario de inventario,MAT-061,763119454038,111.52,material que se usa
Tarjeta de presentación,MAT-062,761785718034,96.7,material que se usa
Gafete de identificación,MAT-063,768466749182,99.09,material que se usa
Cordón para gafete,MAT-064,764319191017,73.66,material que se usa
SLIME, MAT-065, 764319198897, 50.27, material que se usa
