nombre,correo_electronico,telefono,direccion,ciudad,pais,nit
"Terán, Rodarte y Rodríquez",amadorelvira@industrias.biz,+502 6674-9103,Calle Argentina 119 252,Antigua Guatemala,Guatemala,6486963-1
Angulo A.C.,sofiaarias@arredondo-barraza.org,+52 3501-7968,Privada Suiza 613 331,Ciudad de México,México,2214906-4
Aragón y Asociados,loerahelena@centeno-calvillo.com,+502 2686-4643,Continuación Tamaulipas 054 Interior 405,Ciudad de Guatemala,Guatemala,2117740-4
Trading Tyrell,olivia87@industrias.biz,+502 5422-5388,"Peatonal Campeche 931 Edif. 942 , Depto. 608",Villa Nueva,Guatemala,3168032-0
Corporacin Ayala y Acuña,irma17@club.net,+503 3322-5290,"Circunvalación Eslovenia 372 Edif. 117 , Depto. 815",Santa Ana,El Salvador,1845231-2
Cadena-Pacheco S.C.,pichardosoledad@nieto.com,+502 6350-4372,"Privada Sur Ojeda 372 Edif. 899 , Depto. 059",Mixco,Guatemala,5864735-7
Solorio-Cortés y Asociados,vurrutia@de.com,+503 2148-5103,"Continuación Mozambique 383 Edif. 449 , Depto. 223",Santa Ana,El Salvador,1619907-0
Zavala-Solorio S.A. de C.V.,modestomenchaca@corporacin.com,+502 3552-9425,"Calle Sur Madrid 464 Edif. 311 , Depto. 436",Antigua Guatemala,Guatemala,8965161-3
Aponte y Alcala S.C.,ggaribay@club.org,+52 7325-8080,"Cerrada Posada 996 Edif. 393 , Depto. 217",Ciudad de México,México,9304748-8
"Marroquín, Hurtado y Calvillo",yguerra@cortez.info,+52 3762-4761,"Retorno Parra 250 Edif. 671 , Depto. 048",Tijuana,México,6749629-3
Grupo Feliciano y Solano,felipe97@laboratorios.com,+503 4847-1891,Eje vial Veracruz de Ignacio de la Llave 268 195,Santa Ana,El Salvador,3177994-0
Hernádez S.A. de C.V.,dpabon@benavidez.biz,+502 2453-2384,Boulevard México 683 Interior 673,Mixco,Guatemala,7390135-8
Grupo Barrientos-Espinoza,uvalenzuela@proyectos.biz,+503 7674-5801,Privada Distrito Federal 534 Interior 646,San Miguel,El Salvador,1758959-7
Club Acevedo-León,oscar45@rubio.com,+502 2029-5312,Circunvalación Líbano 195 285,Quetzaltenango,Guatemala,7109278-5
Alba S.A.,lozadapascual@veliz-collazo.com,+503 4535-4569,Corredor Sur Frías 829 Interior 918,San Miguel,El Salvador,6982485-2
"Grupo Saldaña, Gallardo y Tamez",quinonesyeni@vaca-casanova.com,+502 5888-5569,Calle Nauru 807 Interior 727,Mixco,Guatemala,9434980-3
Club de Anda y Tirado,cruzadriana@valladares.com,+502 2744-5328,"Eje vial Tabasco 125 Edif. 009 , Depto. 051",Antigua Guatemala,Guatemala,2505812-2
Casa Stark Distribuidora,wrubio@despacho.com,+52 4454-5984,Corredor Mondragón 883 Interior 465,Tijuana,México,4905896-1
"Heredia, Urrutia y Ávila",serafin57@merino.net,+503 3271-7381,Viaducto Nueva Zelandia 535 429,Mejicanos,El Salvador,6471633-7
Arevalo-Ozuna,ktrejo@ozuna.com,+502 7269-3371,"Calzada Roldán 088 Edif. 969 , Depto. 291",Mixco,Guatemala,1734641-8
Despacho Reyna y Delgado,duranarturo@campos.com,+503 6141-3282,Circunvalación Guerrero 050 Interior 699,Soyapango,El Salvador,9787189-8
Salinas S. R.L. de C.V.,casanovadolores@ramon.biz,+503 6784-4767,"Eje vial Sur Borrego 732 Edif. 060 , Depto. 011",San Salvador,El Salvador,2427601-0
Proyectos Casas y Ceballos,ralmanza@club.com,+502 2859-7170,"Circunvalación Valdés 774 Edif. 000 , Depto. 009",Quetzaltenango,Guatemala,8573003-8
Ordóñez-Márquez,olga27@mata.org,+502 7576-5006,Callejón Sur Carrión 267 Interior 674,Ciudad de Guatemala,Guatemala,9208996-4
Loya-Lemus A.C.,paola02@industrias.biz,+502 6120-9768,"Pasaje Guinea Bissau 054 Edif. 462 , Depto. 904",Villa Nueva,Guatemala,2542529-8
LA TORRE,echeverria7n@gmail.com,+502 4189-8354,"buatemala",Villa Nueva,Guatemala,2542129-7
